"","lakeid","year","ice_duration"
"1","Lake Mendota",1855,118
"2","Lake Mendota",1856,151
"3","Lake Mendota",1857,121
"4","Lake Mendota",1858,96
"5","Lake Mendota",1859,110
"6","Lake Mendota",1860,117
"7","Lake Mendota",1861,132
"8","Lake Mendota",1862,104
"9","Lake Mendota",1863,125
"10","Lake Mendota",1864,118
"11","Lake Mendota",1865,125
"12","Lake Mendota",1866,123
"13","Lake Mendota",1867,110
"14","Lake Mendota",1868,127
"15","Lake Mendota",1869,131
"16","Lake Mendota",1870,99
"17","Lake Mendota",1871,126
"18","Lake Mendota",1872,144
"19","Lake Mendota",1873,136
"20","Lake Mendota",1874,126
"21","Lake Mendota",1875,91
"22","Lake Mendota",1876,130
"23","Lake Mendota",1877,62
"24","Lake Mendota",1878,112
"25","Lake Mendota",1879,99
"26","Lake Mendota",1880,161
"27","Lake Mendota",1881,78
"28","Lake Mendota",1882,124
"29","Lake Mendota",1883,119
"30","Lake Mendota",1884,124
"31","Lake Mendota",1885,128
"32","Lake Mendota",1886,131
"33","Lake Mendota",1887,113
"34","Lake Mendota",1888,88
"35","Lake Mendota",1889,75
"36","Lake Mendota",1890,111
"37","Lake Mendota",1891,97
"38","Lake Mendota",1892,112
"39","Lake Mendota",1893,101
"40","Lake Mendota",1894,101
"41","Lake Mendota",1895,91
"42","Lake Mendota",1896,110
"43","Lake Mendota",1897,100
"44","Lake Mendota",1898,130
"45","Lake Mendota",1899,111
"46","Lake Mendota",1900,107
"47","Lake Mendota",1901,105
"48","Lake Mendota",1902,89
"49","Lake Mendota",1903,126
"50","Lake Mendota",1904,108
"51","Lake Mendota",1905,97
"52","Lake Mendota",1906,94
"53","Lake Mendota",1907,83
"54","Lake Mendota",1908,106
"55","Lake Mendota",1909,98
"56","Lake Mendota",1910,101
"57","Lake Mendota",1911,108
"58","Lake Mendota",1912,99
"59","Lake Mendota",1913,88
"60","Lake Mendota",1914,115
"61","Lake Mendota",1915,102
"62","Lake Mendota",1916,116
"63","Lake Mendota",1917,115
"64","Lake Mendota",1918,82
"65","Lake Mendota",1919,110
"66","Lake Mendota",1920,81
"67","Lake Mendota",1921,96
"68","Lake Mendota",1922,125
"69","Lake Mendota",1923,104
"70","Lake Mendota",1924,105
"71","Lake Mendota",1925,124
"72","Lake Mendota",1926,103
"73","Lake Mendota",1927,106
"74","Lake Mendota",1928,96
"75","Lake Mendota",1929,107
"76","Lake Mendota",1930,98
"77","Lake Mendota",1931,65
"78","Lake Mendota",1932,115
"79","Lake Mendota",1933,91
